UiMin[0],UiMin[1],UiMax[0],UiMax[1],Region[0],Region[1],Region[2],Region[3],Region[4],Region[5],ID,UiMapID,OrderIndex,MapID,AreaID,WMODoodadPlacementID,WMOGroupID
0,0,1,1,-1716.67,-7250,-1000000,1808.33,-1962.5,1000000,39246,1,0,1,14,0,0
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39247,2,0,1,0,176000,1750
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39248,2,1,1,0,176000,1751
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39249,2,2,1,0,176000,1752
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39250,2,3,1,0,176000,1753
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39251,2,4,1,0,176000,1754
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39252,2,5,1,0,176000,1755
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39253,2,6,1,0,176000,1756
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39254,2,7,1,0,176000,1757
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39255,2,8,1,0,176000,1759
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39256,2,9,1,0,176000,1760
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39257,2,10,1,0,176000,1761
0,0,1,1,-171.83301,-4432.5,-10000,5.500333,-4166.5,1000000,39258,2,11,1,0,176000,1762
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39259,3,0,1,0,183741,2341
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39260,3,1,1,0,183741,2342
0,0,1,1,-286.667,-5177.5005,-1000,-203.333,-5052.4995,1000000,39261,3,2,1,0,183741,2343
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39262,3,3,1,0,183741,2344
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39263,3,4,1,0,183741,2345
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39264,3,5,1,0,183741,2346
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39265,3,6,1,0,183741,2347
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39266,3,7,1,0,183741,2348
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39267,3,8,1,0,183741,2349
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39268,3,9,1,0,183741,2350
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39269,3,10,1,0,183741,2352
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39270,3,11,1,0,183741,2353
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39271,3,12,1,0,183741,2354
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39272,4,0,1,0,183741,2339
0,0,1,1,-286.667,-5177.5005,-10000,-203.333,-5052.4995,1000000,39273,4,1,1,0,183741,2340
0,0,1,1,-286.667,-5177.5005,44,-203.333,-5052.4995,1000000,39274,4,2,1,0,183741,2343
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39275,5,0,1,0,250582,1750
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39276,5,1,1,0,250582,1751
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39277,5,2,1,0,250582,1752
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39278,5,3,1,0,250582,1753
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39279,5,4,1,0,250582,1754
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39280,5,5,1,0,250582,1755
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39281,5,6,1,0,250582,1756
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39282,5,7,1,0,250582,1757
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39283,5,8,1,0,250582,1759
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39284,5,9,1,0,250582,1760
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39285,5,10,1,0,250582,1761
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39286,5,11,1,0,250582,1762
0,0,1,1,799.25,-4880.5,-10000,971.25,-4622.5,1000000,39287,6,0,1,0,172378,1767
0,0,1,1,799.25,-4880.5,-10000,971.25,-4622.5,1000000,39288,6,1,1,0,172378,1768
0,0,1,1,799.25,-4880.5,-10000,971.25,-4622.5,1000000,39289,6,2,1,0,172378,1769
0,0,1,1,799.25,-4880.5,-10000,971.25,-4622.5,1000000,39290,6,3,1,0,172378,1770
0,0,1,1,799.25,-4880.5,-10000,971.25,-4622.5,1000000,39291,6,4,1,0,172378,1771
0,0,1,1,799.25,-4880.5,-10000,971.25,-4622.5,1000000,39292,6,5,1,0,172378,1772
0,0,1,1,799.25,-4880.5,-10000,971.25,-4622.5,1000000,39293,6,6,1,0,172378,1773
0,0,1,1,-3802.08,-3245.83,-1000000,-168.75,2204.17,1000000,39294,7,0,1,215,0,0
0,0,1,1,-2496.67,229.995,-10000,-2263.33,580.005,1000000,39295,8,0,1,0,398076,8304
0,0,1,1,-2496.67,229.995,-10000,-2263.33,580.005,1000000,39296,8,1,1,0,398076,8305
0,0,1,1,-2496.67,229.995,-10000,-2263.33,580.005,1000000,39297,8,2,1,0,398076,8307
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39298,9,0,1,0,170819,14732
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39299,9,1,1,0,170819,14733
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39300,9,2,1,0,170819,14734
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39301,9,3,1,0,170819,14735
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39302,9,4,1,0,170819,14736
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39303,9,5,1,0,170819,14737
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39304,9,6,1,0,170819,14738
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39305,9,7,1,0,170819,14739
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39306,9,8,1,0,170819,14740
0,0,1,1,-1930,-1559,-10000,-1436,-818,1000000,39307,9,9,1,0,170819,14741
0,0,1,1,-2020.83,-5543.75,-1000000,1810.42,202.083,1000000,39308,10,0,1,17,0,0
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39309,11,0,1,0,371662,3314
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39310,11,1,1,0,371662,3315
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39311,11,2,1,0,371662,3316
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39312,11,3,1,0,371662,3317
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39313,11,4,1,0,371662,3318
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39314,11,5,1,0,371662,3319
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39315,11,6,1,0,371662,3320
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39316,11,7,1,0,371662,3321
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39317,11,8,1,0,371662,3322
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39318,11,9,1,0,371662,3323
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39319,11,10,1,0,371662,3325
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39320,11,11,1,0,371662,3326
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39321,11,12,1,0,371662,3327
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39322,11,13,1,0,371662,3328
0,0,1,1,-870,-2472.5,-10000,-490,-1902.5,1000000,39323,11,14,1,0,371662,3330
0,0,1,1,-12223.964,-19733.2,-1000000,12309.236,17066.6,1000000,39324,12,0,1,0,0,0
0,0,1,1,-15973.344,-22569.21,-1000000,11176.344,18171.97,1000000,39325,13,0,0,0,0,0
0,0,1,1,-2460.42,-4604.17,-1000000,-141.667,-1127.08,1000000,39326,14,0,0,45,0,0
0,0,1,1,-7900,-4972.92,-1000000,-5854.17,-1902.08,1000000,39327,15,0,0,3,0,0
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39328,16,0,0,0,180253,1236
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39329,16,1,0,0,180253,1237
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39330,16,2,0,0,180253,1238
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39331,16,3,0,0,180253,1239
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39332,16,4,0,0,180253,1240
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39333,16,5,0,0,180253,1241
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39334,16,6,0,0,180253,1242
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39335,16,7,0,0,180253,1243
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39336,16,8,0,0,180253,1244
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39337,16,9,0,0,180253,1246
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39338,16,10,0,0,180253,1247
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39339,16,11,0,0,180253,1248
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39340,16,12,0,0,180253,1249
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39341,16,13,0,0,180253,1250
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39342,16,14,0,0,180253,1251
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39343,16,15,0,0,180253,1252
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39344,16,16,0,0,180253,1253
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39345,16,17,0,0,180253,1254
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39346,16,18,0,0,180253,1255
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39347,16,19,0,0,180253,1256
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39348,16,20,0,0,180253,1257
0,0,1,1,-6330,-3311.25,-10000,-5955,-2748.75,1000000,39349,16,21,0,0,180253,1258
0,0,1,1,-13025,-4856.25,-1000000,-10583.3,-1193.75,1000000,39350,17,0,0,4,0,0
0,0,1,1,825,-1485.42,-1000000,3837.5,3033.33,1000000,39351,18,0,0,85,0,0
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39352,19,0,0,0,129262,2360
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39353,19,1,0,0,129262,2361
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39354,19,2,0,0,129262,2362
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39355,19,3,0,0,129262,7862
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39356,19,4,0,0,129262,7863
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39357,19,5,0,0,129262,7864
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39358,19,6,0,0,129262,7866
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39359,19,7,0,0,129262,7868
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39360,19,8,0,0,129262,7869
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39361,19,9,0,0,129262,7871
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39362,19,10,0,0,129262,7873
0,0,1,1,2812.17,-864.9951,-10000,2948.83,-660.0049,1000000,39363,19,11,0,0,129262,7969
0,0,1,1,1767.92,1930.51,-10000,2200.58,2579.5,1000000,39364,20,0,0,0,0,48266
0,0,1,1,1767.92,1930.51,-10000,2200.58,2579.5,1000000,39365,20,1,0,0,13652729,48266
0,0,1,1,1767.92,1930.51,-10000,2200.58,2579.5,1000000,39366,20,2,0,0,0,48267
0,0,1,1,1767.92,1930.51,-10000,2200.58,2579.5,1000000,39367,20,3,0,0,13652729,48267
0,0,1,1,1767.92,1930.51,-10000,2200.58,2579.5,1000000,39368,20,4,0,0,0,48268
